Year,Team,Wins,Loss,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding %,Defensive Rebounding %,Rebounding %,Turnover %,Effective Field Goal %,True Shooting %,Pace,Player Impact Estimate
2019,Toronto Raptors,24,16,109.8,104.2,5.6,59.8,1.87,17.2,23.9,71.9,48.3,12.4,51.5,56.1,96.25,52.4
2019,Golden State Warriors,22,14,114.6,111.5,3.1,69.1,1.91,20,30.1,71.4,51.3,15,54.8,58.9,98.57,53.6
2019,Milwaukee Bucks,15,10,110.7,101.9,8.8,62.8,1.92,17.8,25.9,77.6,52.6,12.8,52.3,56,100.57,55.5
2019,Portland Trail Blazers,16,8,109.5,110.6,-1.1,50.1,1.53,14.6,29.8,69.1,49.1,12.9,50.1,54.1,97.15,47.1
2019,Denver Nuggets,14,7,113.3,111.1,2.2,60.1,2.45,17.6,31.1,70.3,50.5,10.2,49.6,53.9,93.68,51.8
2019,Philadelphia 76ers,12,7,109.1,106,3.1,61.9,1.48,17.5,31.9,75.2,54.1,16.6,51.4,55.9,99.63,53.8
2019,Houston Rockets,11,6,110.5,107.4,3,49.1,1.16,14.1,28.7,68.7,49.1,16.1,53.7,57.4,97.26,49.7
2019,Boston Celtics,9,5,101.4,103,-1.5,60.1,1.45,16.1,22.9,78.3,51.4,14.7,49.1,53.9,100.61,50.2
2019,San Antonio Spurs,7,3,110.7,113.1,-2.3,53.6,2.51,16.6,26.4,72.6,49.9,9,50.3,54.2,93.14,49.3
2019,LA Clippers,6,2,111.5,120.5,-9,63.6,1.69,17.7,29.3,71.4,49,14.6,51.1,56.3,103.08,43.1
2019,Brooklyn Nets,5,1,105.7,115.9,-10.2,50,1.35,13.8,25.8,64.3,44.1,13.5,48,53.4,105.5,41.3
2019,Oklahoma City Thunder,5,1,104.4,109.9,-5.5,59.8,1.49,16.6,26.4,70.1,48.2,15.1,50,54.1,100.9,48.2
2019,Orlando Magic,5,1,95.8,111.5,-15.7,59,1.22,14.7,26,79.6,50.5,16.3,45.1,49.6,95.7,39.9
2019,Utah Jazz,5,1,99.2,108.5,-9.3,66.5,1.51,16.7,30.5,74.2,51.6,15.4,45.5,50.1,98.6,47.3
2019,Detroit Pistons,4,0,96.8,120.5,-23.8,61.3,2.19,16.5,24.8,72.7,45.2,10.4,44.4,47.1,101.13,35.4
2019,Indiana Pacers,4,0,95.8,103.9,-8.1,61.9,1.73,16.4,19.6,73.7,45.1,12.5,46.1,49.6,95.63,45.4
2018,Golden State Warriors,21,16,112.7,102,10.7,63.2,2.03,19.2,25.5,73.2,50.8,13.1,54.5,58.1,97.73,57.2
2018,Cleveland Cavaliers,22,12,108.3,111.1,-2.8,52.2,1.52,15.3,28.9,74.4,51.3,13.6,51.2,55,92.13,48.3
2018,Boston Celtics,19,11,107.1,106.2,0.9,58.2,1.82,16.5,25.6,74.7,49.4,12.3,50,54.1,93.74,49.9
2018,Houston Rockets,17,11,108.5,107,1.6,50.6,1.56,14.7,25.1,75.5,49.4,12.5,51.4,55.2,96.56,49.7
2018,New Orleans Pelicans,9,5,105.5,107,-1.4,62.7,1.86,19,21.5,76.2,49.7,13.9,53.3,56.2,103.89,50.4
2018,Philadelphia 76ers,10,5,108.9,105,3.9,66.7,1.77,18,33.3,76.9,54.3,14.6,49.3,53.9,98.87,53.2
2018,Utah Jazz,11,5,104.3,106.1,-1.8,53.7,1.3,15.5,25.5,75.4,50.7,15.8,52,54.9,98.36,48.8
2018,Toronto Raptors,10,4,111.4,116.4,-4.9,56,1.56,16.8,27.2,71.9,49.6,14.5,53.6,57.8,95.16,46.9
2018,Indiana Pacers,7,3,110.3,103.4,6.9,54.8,1.61,17.1,27.4,73.5,50.7,14.4,54.2,56.7,91.43,54.5
2018,Milwaukee Bucks,7,3,108.7,108.8,-0.1,56.2,1.67,17.8,19,69.8,46.6,14,56.1,58.5,92.55,50.9
2018,Oklahoma City Thunder,6,2,102.9,106.9,-4,43.9,1.17,12.8,26.1,71.3,48.5,14.2,49,52.8,98.5,46.9
2018,Washington Wizards,6,2,109.7,110.8,-1.1,58.8,1.73,17.5,27.9,73.6,50.4,13.8,51.3,56.1,98.08,49.8
